parcel_id,lnd_street_frontage,lnd_depth,lnd_site_index,lnd_pricing_code,lnd_assess_val,lnd_line_num,lnd_bldg_num,lnd_occ_desc,lnd_occ_code,lnd_type
4-1,,,,,172100.00,1,1,MEDICAL OFF-Res,,
4-2,,,,,101200.00,1,1,ONE FAM,,
4-4,,,,,,1,2,OFFICE,,
4-4,,,,,,1,3,OFFICE,,
4-4,,,,,657600.00,1,1,OFFICE,,
4-5,,,,,672000.00,1,1,POTNLDEV,,
4-6,,,,,156800.00,1,1,ONE FAM,,
4-7,,,,,154100.00,1,1,ONE FAM,,
4-8,,,,,156800.00,1,1,ONE FAM,,
4-9,,,,,1000.00,2,1,ONE FAM,,
4-9,,,,,159600.00,1,1,ONE FAM,,
4-10,,,,,2100.00,2,1,ONE FAM,,
4-10,,,,,159600.00,1,1,ONE FAM,,
4-11,,,,,146200.00,1,1,ONE FAM,,
4-12,,,,,149500.00,1,1,ONE FAM,,
4-13,,,,,138700.00,1,1,ONE FAM,,
4-14,,,,,142100.00,1,1,ONE FAM,,
4-15,,,,,157200.00,1,1,ONE FAM,,
4-16,,,,,154200.00,1,1,ONE FAM,,
4-17,,,,,,1,2,ONE FAM,,
4-17,,,,,8000.00,2,1,ONE FAM,,
4-17,,,,,8200.00,3,1,ONE FAM,,
4-17,,,,,159600.00,1,1,ONE FAM,,
4-18-100,,,,,3200.00,2,1,ONE FAM,,
4-18-100,,,,,143600.00,1,1,ONE FAM,,
4-18-200,,,,,6400.00,3,1,ONE FAM,,
4-18-200,,,,,8000.00,2,1,ONE FAM,,
4-18-200,,,,,159600.00,1,1,ONE FAM,,
4-19,,,,,132900.00,1,1,ONE FAM,,
4-20,,,,,134300.00,1,1,ONE FAM,,
4-21,,,,,134300.00,1,1,ONE FAM,,
4-22,,,,,134300.00,1,1,ONE FAM,,
4-23,,,,,0.00,1,1,CONDO MSTR,,
4-23-104,,,,,,1,1,CONDO,,
4-23-203,,,,,,1,1,CONDO,,
4-23-305,,,,,,1,1,CONDO,,
4-23-403,,,,,,1,1,CONDO,,
4-23-505,,,,,,1,1,CONDO,,
4-23-602,,,,,,1,1,CONDO,,
4-23-706,,,,,,1,1,CONDO,,
4-23-802,,,,,,1,1,CONDO,,
4-23-906,,,,,,1,1,CONDO,,
4-23-1001,,,,,,1,1,CONDO,,
4-23-1107,,,,,,1,1,CONDO,,
4-23-1201,,,,,,1,1,CONDO,,
4-23-1307,,,,,,1,1,CONDO,,
4-23-1418,,,,,,1,1,CONDO,,
4-23-1508,,,,,,1,1,CONDO,,
4-23-1618,,,,,,1,1,CONDO,,
4-23-1708,,,,,,1,1,CONDO,,
4-23-1909,,,,,,1,1,CONDO,,
4-23-2017,,,,,,1,1,CONDO,,
4-23-2109,,,,,,1,1,CONDO,,
4-23-2216,,,,,,1,1,CONDO,,
4-23-2310,,,,,,1,1,CONDO,,
4-23-2416,,,,,,1,1,CONDO,,
4-23-2511,,,,,,1,1,CONDO,,
4-23-2615,,,,,,1,1,CONDO,,
4-23-2711,,,,,,1,1,CONDO,,
4-23-2815,,,,,,1,1,CONDO,,
4-23-2912,,,,,,1,1,CONDO,,
4-23-3014,,,,,,1,1,CONDO,,
4-23-3112,,,,,,1,1,CONDO,,
4-23-3213,,,,,,1,1,CONDO,,
4-24,,,,,3300.00,2,1,CHURCH,,
4-24,,,,,1967200.00,1,1,CHURCH,,
4-25,,,,,74900.00,1,1,ONE FAM,,
4-26,,,,,87800.00,1,1,2 FAMILY,,
4-27,,,,,97600.00,1,1,ONE FAM,,
4-28,,,,,74900.00,1,1,ONE FAM,,
4-29,,,,,74900.00,1,1,ONE FAM,,
4-30,,,,,102900.00,1,1,ONE FAM,,
4-31,,,,,97100.00,1,1,ONE FAM,,
4-32,,,,,113500.00,1,1,ONE FAM,,
4-33,,,,,142800.00,1,1,ONE FAM,,
4-34,,,,,131000.00,1,1,ONE FAM,,
4-35,,,,,129700.00,1,1,ONE FAM,,
4-36,,,,,135800.00,1,1,ONE FAM,,
4-37,,,,,137200.00,1,1,ONE FAM,,
4-38,,,,,153700.00,1,1,ONE FAM,,
4-39,,,,,157900.00,1,1,ONE FAM,,
4-40,,,,,147900.00,1,1,ONE FAM,,
4-41,,,,,156000.00,1,1,ONE FAM,,
4-42,,,,,159200.00,1,1,ONE FAM,,
4-43,,,,,157200.00,1,1,ONE FAM,,
4-44,,,,,158900.00,1,1,ONE FAM,,
4-45,,,,,155600.00,1,1,ONE FAM,,
4-46,,,,,144300.00,1,1,ONE FAM,,
4-47,,,,,157200.00,1,1,ONE FAM,,
4-48,,,,,156800.00,1,1,ONE FAM,,
4-49,,,,,142800.00,1,1,ONE FAM,,
4-50,,,,,159200.00,1,1,ONE FAM,,
4-51,,,,,159100.00,1,1,ONE FAM,,
4-52,,,,,154400.00,1,1,ONE FAM,,
4-53,,,,,137200.00,1,1,ONE FAM,,
4-54,,,,,141600.00,1,1,ONE FAM,,
4-55,,,,,134300.00,1,1,ONE FAM,,
4-56,,,,,151200.00,1,1,ONE FAM,,
4-57,,,,,137900.00,1,1,ONE FAM,,
4-58,,,,,137900.00,1,1,ONE FAM W ACC,,
4-59,,,,,137200.00,1,1,ONE FAM,,
4-60,,,,,137900.00,1,1,ONE FAM,,
4-61,,,,,157200.00,1,1,ONE FAM,,
4-62,,,,,130700.00,1,1,ONE FAM,,
4-63,,,,,124400.00,1,1,ONE FAM,,
4-64,,,,,79400.00,1,1,POTNLDEV,,
4-65,,,,,132900.00,1,1,ONE FAM,,
4-66,,,,,134300.00,1,1,ONE FAM,,
4-67,,,,,134300.00,1,1,ONE FAM,,
4-68,,,,,133600.00,1,1,ONE FAM,,
4-69,,,,,135100.00,1,1,ONE FAM,,
4-70,,,,,135800.00,1,1,ONE FAM,,
4-71,,,,,135800.00,1,1,ONE FAM,,
4-72,,,,,133600.00,1,1,ONE FAM,,
4-73,,,,,135800.00,1,1,ONE FAM,,
4-74,,,,,137900.00,1,1,ONE FAM,,
4-75,,,,,137900.00,1,1,ONE FAM,,
4-76,,,,,136500.00,1,1,ONE FAM,,
4-77,,,,,800.00,2,1,CHURCH,,
4-77,,,,,983600.00,1,1,CHURCH,,
4-79,,,,,18400.00,1,1,MUNICPAL,,
4-80,,,,,87400.00,1,1,ONE FAM,,
4-81,,,,,86000.00,1,1,ONE FAM,,
4-82,,,,,87800.00,1,1,ONE FAM,,
4-83,,,,,89200.00,1,1,ONE FAM,,
4-84,,,,,2400.00,2,1,RES LAND,,
4-84,,,,,114700.00,1,1,RES LAND,,
4-85,,,,,140400.00,1,1,ONE FAM,,
4-86,,,,,142700.00,1,1,ONE FAM,,
4-87,,,,,900.00,2,1,2 FAMILY,,
4-87,,,,,143400.00,1,1,2 FAMILY,,
4-88,,,,,136600.00,1,1,ONE FAM,,
5-1,,,,,,1,2,APT 9+UP,,
5-1,,,,,,1,3,APT 9+UP,,
5-1,,,,,,1,4,APT 9+UP,,
5-1,,,,,,1,5,APT 9+UP,,
5-1,,,,,,1,6,APT 9+UP,,
5-1,,,,,,1,7,APT 9+UP,,
5-1,,,,,,1,8,APT 9+UP,,
5-1,,,,,,1,9,APT 9+UP,,
5-1,,,,,,1,10,APT 9+UP,,
5-1,,,,,,1,11,APT 9+UP,,
5-1,,,,,,1,12,APT 9+UP,,
5-1,,,,,,1,13,APT 9+UP,,
5-1,,,,,,1,14,APT 9+UP,,
5-1,,,,,,1,15,APT 9+UP,,
5-1,,,,,,1,16,APT 9+UP,,
5-1,,,,,,1,17,APT 9+UP,,
5-1,,,,,,1,18,APT 9+UP,,
5-1,,,,,,1,19,APT 9+UP,,
5-1,,,,,,1,20,APT 9+UP,,
5-1,,,,,,1,21,APT 9+UP,,
5-1,,,,,,1,22,APT 9+UP,,
5-1,,,,,,1,23,APT 9+UP,,
5-1,,,,,,1,24,APT 9+UP,,
5-1,,,,,,1,26,APT 9+UP,,
5-1,,,,,,1,27,APT 9+UP,,
5-1,,,,,,1,28,APT 9+UP,,
5-1,,,,,,1,29,APT 9+UP,,
5-1,,,,,,1,30,APT 9+UP,,
5-1,,,,,,1,31,APT 9+UP,,
5-1,,,,,,1,32,APT 9+UP,,
5-1,,,,,,1,33,APT 9+UP,,
5-1,,,,,,1,34,APT 9+UP,,
5-1,,,,,,1,35,APT 9+UP,,
5-1,,,,,,1,36,APT 9+UP,,
5-1,,,,,,1,37,APT 9+UP,,
5-1,,,,,,1,38,APT 9+UP,,
5-1,,,,,,1,39,APT 9+UP,,
5-1,,,,,,1,40,APT 9+UP,,
5-1,,,,,,1,41,APT 9+UP,,
5-1,,,,,,1,42,APT 9+UP,,
5-1,,,,,,1,43,APT 9+UP,,
5-1,,,,,,1,44,APT 9+UP,,
5-1,,,,,,1,45,APT 9+UP,,
5-1,,,,,,1,46,APT 9+UP,,
5-1,,,,,,1,47,APT 9+UP,,
5-1,,,,,,1,48,APT 9+UP,,
5-1,,,,,,1,49,APT 9+UP,,
5-1,,,,,,1,50,APT 9+UP,,
5-1,,,,,,1,51,APT 9+UP,,
5-1,,,,,,1,52,APT 9+UP,,
5-1,,,,,,1,53,APT 9+UP,,
5-1,,,,,,1,54,APT 9+UP,,
5-1,,,,,,1,55,APT 9+UP,,
5-1,,,,,,1,56,APT 9+UP,,
5-1,,,,,,1,57,APT 9+UP,,
5-1,,,,,,1,58,APT 9+UP,,
5-1,,,,,,1,59,APT 9+UP,,
5-1,,,,,,1,60,APT 9+UP,,
5-1,,,,,,1,61,APT 9+UP,,
5-1,,,,,,1,62,APT 9+UP,,
5-1,,,,,,1,63,APT 9+UP,,
5-1,,,,,,1,64,APT 9+UP,,
5-1,,,,,,1,65,APT 9+UP,,
5-1,,,,,,1,66,APT 9+UP,,
5-1,,,,,,1,67,APT 9+UP,,
5-1,,,,,,1,68,APT 9+UP,,
5-1,,,,,,1,69,APT 9+UP,,
5-1,,,,,,1,70,APT 9+UP,,
5-1,,,,,,1,71,APT 9+UP,,
5-1,,,,,,1,72,APT 9+UP,,
5-1,,,,,,1,25,OFFICE,,
5-1,,,,,10700.00,3,1,IND LAND,,
5-1,,,,,7670.00,2,1,FARM,,
5-1,,,,,21700.00,4,1,M PINE,,
5-1,,,,,9611100.00,1,1,APT 9+UP,,
5-1-70100,,,,,300.00,2,1,ONE FAM,,
5-1-70100,,,,,103200.00,1,1,ONE FAM,,
5-2,,,,,8600.00,2,1,MUNICPAL,,
5-2,,,,,23000.00,3,1,MUNICPAL,,
5-2,,,,,1264600.00,1,1,MUNICPAL,,
5-2-70100,,,,,0.00,1,1,CHARITABLE-Ind,,
6-1,,,,,59000.00,2,1,STATE ED TAX,,
6-1,,,,,99800.00,1,1,STATE ED TAX,,
7-1,,,,,6200.00,2,1,MUNICPAL,,
7-1,,,,,421500.00,1,1,MUNICPAL,,
7-2,,,,,,1,2,OFFICE,,
7-2,,,,,2600.00,2,1,OFFICE,,
7-2,,,,,281000.00,1,1,OFFICE,,
7-3,,,,,1300.00,2,1,ONE FAM,,
7-3,,,,,103200.00,1,1,ONE FAM,,
7-4,,,,,1000.00,2,1,ONE FAM,,
7-4,,,,,103200.00,1,1,ONE FAM,,
7-5,,,,,800.00,2,1,ONE FAM,,
7-5,,,,,103200.00,1,1,ONE FAM,,
7-6,,,,,103200.00,1,1,ONE FAM,,
7-7,,,,,103200.00,1,1,ONE FAM,,
7-8,,,,,89700.00,1,1,ONE FAM,,
7-9,,,,,500.00,2,1,POTNLDEV,,
7-9,,,,,91800.00,1,1,POTNLDEV,,
7-10,,,,,6700.00,2,1,POTNLDEV,,
7-10,,,,,68800.00,1,1,POTNLDEV,,
8-1,,,,,14800.00,2,1,APT 9+UP,,
8-1,,,,,1292700.00,1,1,APT 9+UP,,
8-2,,,,,21700.00,2,1,CONDO MSTR,,
8-2,,,,,2346000.00,3,1,CONDO MSTR,,
8-2,,,,,3934400.00,1,1,CONDO MSTR,,
8-2-100,,,,,,1,1,APT 9+UP,,
8-2-101,,,,,,1,1,CONDO,,
8-2-102,,,,,,1,1,CONDO,,
8-2-103,,,,,,1,1,CONDO,,
8-2-104,,,,,,1,1,CONDO,,
8-2-200,,,,,18500.00,2,1,APT 9+UP,,
8-2-200,,,,,1545700.00,1,1,APT 9+UP,,
8-2-201,,,,,,1,1,CONDO,,
8-2-202,,,,,,1,1,CONDO,,
8-2-203,,,,,,1,1,CONDO,,
8-2-204,,,,,,1,1,CONDO,,
8-2-301,,,,,,1,1,CONDO,,
8-2-302,,,,,,1,1,CONDO,,
8-2-303,,,,,,1,1,CONDO,,
8-2-304,,,,,,1,1,CONDO,,
8-2-401,,,,,,1,1,CONDO,,
8-2-402,,,,,,1,1,CONDO,,
8-2-403,,,,,,1,1,CONDO,,
8-2-404,,,,,,1,1,CONDO,,
8-2-501,,,,,,1,1,CONDO,,
8-2-502,,,,,,1,1,CONDO,,
8-2-503,,,,,,1,1,CONDO,,
8-2-504,,,,,,1,1,CONDO,,
8-2-601,,,,,,1,1,CONDO,,
8-2-602,,,,,,1,1,CONDO,,
8-2-603,,,,,,1,1,CONDO,,
8-2-604,,,,,,1,1,CONDO,,
8-2-701,,,,,,1,1,CONDO,,
8-2-702,,,,,,1,1,CONDO,,
8-2-801,,,,,,1,1,CONDO,,
8-2-802,,,,,,1,1,CONDO,,
8-2-803,,,,,,1,1,CONDO,,
8-2-804,,,,,,1,1,CONDO,,
8-2-901,,,,,,1,1,CONDO,,
8-2-902,,,,,,1,1,CONDO,,
8-2-903,,,,,,1,1,CONDO,,
8-2-904,,,,,,1,1,CONDO,,
8-2-905,,,,,,1,1,CONDO,,
8-2-906,,,,,,1,1,CONDO,,
8-2-907,,,,,,1,1,CONDO,,
8-2-908,,,,,,1,1,CONDO,,
8-2-909,,,,,,1,1,CONDO,,
8-2-910,,,,,,1,1,CONDO,,
8-2-911,,,,,,1,1,CONDO,,
8-2-912,,,,,,1,1,CONDO,,
8-2-1201,,,,,,1,1,CONDO,,
8-2-1202,,,,,,1,1,CONDO,,
8-2-1203,,,,,,1,1,CONDO,,
8-2-1204,,,,,,1,1,CONDO,,
8-2-1301,,,,,,1,1,CONDO,,
8-2-1302,,,,,,1,1,CONDO,,
8-2-1303,,,,,,1,1,CONDO,,
8-2-1304,,,,,,1,1,CONDO,,
8-3,,,,,,1,2,MULT HS,,
8-3,,,,,2200.00,3,1,MULT HS,,
8-3,,,,,5800.00,2,1,MULT HS,,
8-3,,,,,103200.00,1,1,MULT HS,,
8-4,,,,,,1,2,ONE FAM,,
8-4,,,,,99700.00,1,1,ONE FAM,,
8-5,,,,,92500.00,1,1,3 FAMILY,,
8-7,,,,,800.00,2,1,OFFICE,,
8-7,,,,,281000.00,1,1,OFFICE,,
8-8,,,,,71700.00,1,1,ONE FAM,,
8-9,,,,,73900.00,1,1,ONE FAM,,
8-10,,,,,64200.00,1,1,ONE FAM,,
8-11,,,,,400.00,2,1,ONE FAM,,
8-11,,,,,91800.00,1,1,ONE FAM,,
8-12,,,,,2500.00,2,1,RES LAND,,
8-12,,,,,103200.00,1,1,RES LAND,,
8-13,,,,,64200.00,1,1,ONE FAM,,
8-14,,,,,78900.00,1,1,ONE FAM,,
8-15,,,,,71200.00,1,1,ONE FAM,,
8-16,,,,,103200.00,1,1,ONE FAM,,
8-17,,,,,1600.00,2,1,ONE FAM,,
8-17,,,,,103200.00,1,1,ONE FAM,,
8-18,,,,,75700.00,1,1,2 FAMILY,,
8-19,,,,,700.00,2,1,ONE FAM,,
8-19,,,,,103200.00,1,1,ONE FAM,,
8-21,,,,,102200.00,1,1,ONE FAM,,
8-22,,,,,91100.00,1,1,ONE FAM,,
8-23,,,,,27700.00,1,1,OUT BLDS,,
8-25,,,,,500.00,2,1,ONE FAM,,
8-25,,,,,109000.00,1,1,ONE FAM,,
8-26,,,,,5100.00,1,1,UNDEV,,
8-27,,,,,5000.00,1,1,UNDEV,,
8-28,,,,,5100.00,1,1,UNDEV,,
8-29,,,,,5000.00,1,1,UNDEV,,
8-30,,,,,85900.00,1,1,ONE FAM,,
8-31,,,,,93400.00,1,1,2 FAMILY,,
8-32,,,,,93400.00,1,1,ONE FAM,,
8-33,,,,,89700.00,1,1,RES LAND,,
9-1,,,,,,1,2,MOTEL,,
9-1,,,,,16500.00,2,1,MOTEL,,
9-1,,,,,281000.00,1,1,MOTEL,,
9-2,,,,,8640.00,2,1,FARM REC,,
9-2,,,,,7695.00,3,1,M WP REC,,
9-2,,,,,180.00,1,1,FARM REC,,
10-6-100,,,,,192600.00,1,1,TEL XSTA,,
10-6-200,,,,,126000.00,2,1,CHARITABLE,,
10-6-200,,,,,244400.00,1,1,CHARITABLE,,
10-7,,,,,1869400.00,1,1,CONDO MSTR,,
10-7-101,,,,,,1,1,CONDO-com,,
10-7-102,,,,,,1,1,CONDO-com,,
10-7-105,,,,,,1,1,CONDO-com,,
10-7-201,,,,,,1,1,CONDO-com,,
10-7-202,,,,,,1,1,CONDO-com,,
10-7-203,,,,,,1,1,CONDO-com,,
10-7-204,,,,,,1,1,CONDO-com,,
10-7-205,,,,,,1,1,CONDO-com,,
10-7-302,,,,,,1,1,CONDO-com,,
10-7-305,,,,,,1,1,CONDO-com,,
10-7-402,,,,,,1,1,CONDO-com,,
10-7-405,,,,,,1,1,CONDO-com,,
10-7-502,,,,,,1,1,CONDO-com,,
10-7-602,,,,,,1,1,CONDO-com,,
10-7-702,,,,,,1,1,CONDO-com,,
10-7-802,,,,,,1,1,CONDO-com,,
10-8,,,,,,1,1,HOSPITAL,,
10-8-100,,,,,1548000.00,2,1,DEV LAND,,
10-8-100,,,,,10953400.00,3,1,DEV LAND,,
10-8-100,,,,,5967600.00,1,1,DEV LAND,,
10-8-200,,,,,0.00,1,5,CHARITABLE,,
10-8-200,,,,,,1,3,CHARITABLE,,
10-8-200,,,,,,1,4,CHARITABLE,,
10-8-200,,,,,,1,2,CHARITABLE-Ind,,
10-8-200,,,,,,1,1,CHARITABLE,,
10-8-300,,,,,1134000.00,3,1,CHARITABLE-Vac,,
10-8-300,,,,,2066500.00,4,1,CHARITABLE-Vac,,
10-8-300,,,,,6416100.00,2,1,CHARITABLE-Vac,,
10-8-300,,,,,6109300.00,1,1,CHARITABLE-Vac,,
10-8-70100,,,,,,1,1,CHARITABLE,,
10-8-70200,,,,,,1,1,CHARITABLE,,
10-9,,,,,54000.00,2,1,OTH OUTD,,
10-9,,,,,305500.00,1,1,OTH OUTD,,
10-10,,,,,3780000.00,2,1,IND LAND,,
10-10,,,,,124700.00,1,1,OTH OUTD,,
10-11-100,,,,,0.00,1,3,REST/BAR,,
10-11-100,,,,,28100.00,3,1,SHOP CTR,,
10-11-100,,,,,420800.00,2,1,SHOP CTR,,
10-11-100,,,,,,1,2,REST/BAR,,
10-11-100,,,,,1832800.00,1,1,SHOP CTR,,
10-11-300,,,,,71900.00,2,1,HOTEL,,
10-11-300,,,,,916400.00,1,1,HOTEL,,
10-11-400,,,,,610900.00,1,1,STATE NH-Comm,,
10-11-700,,,,,,1,2,HEALTH,,
10-11-700,,,,,690800.00,2,1,HEALTH,,
10-11-700,,,,,1221900.00,1,1,HEALTH,,
10-11-1000,,,,,61900.00,2,1,OFFICE,,
10-11-1000,,,,,458200.00,1,1,OFFICE,,
10-11-1200,,,,,0.00,2,1,CONDO MSTR,,
10-11-1200,,,,,0.00,1,1,CONDO MSTR,,
10-11-1201,,,,,0.00,1,1,CONDO,,
10-11-1201,,,,,0.00,2,1,CONDO,,
10-11-1202,,,,,0.00,1,1,CONDO,,
10-11-1202,,,,,0.00,2,1,CONDO,,
10-11-1203,,,,,0.00,1,1,CONDO,,
10-11-1203,,,,,0.00,2,1,CONDO,,
10-11-1204,,,,,0.00,1,1,CONDO,,
10-11-1204,,,,,0.00,2,1,CONDO,,
10-11-1205,,,,,0.00,2,1,CONDO,,
10-11-1205,,,,,0.00,1,1,CONDO,,
10-11-1206,,,,,0.00,2,1,CONDO,,
10-11-1206,,,,,0.00,1,1,CONDO,,
10-11-1207,,,,,0.00,2,1,CONDO,,
10-11-1207,,,,,0.00,1,1,CONDO,,
10-11-1208,,,,,0.00,2,1,CONDO,,
10-11-1208,,,,,0.00,1,1,CONDO,,
10-11-1209,,,,,0.00,2,1,CONDO,,
10-11-1209,,,,,0.00,1,1,CONDO,,
10-11-1210,,,,,0.00,2,1,CONDO,,
10-11-1210,,,,,0.00,1,1,CONDO,,
10-11-1211,,,,,0.00,2,1,CONDO,,
10-11-1211,,,,,0.00,1,1,CONDO,,
10-11-1212,,,,,0.00,2,1,CONDO,,
10-11-1212,,,,,0.00,1,1,CONDO,,
10-11-1213,,,,,0.00,2,1,CONDO,,
10-11-1213,,,,,0.00,1,1,CONDO,,
10-11-1214,,,,,0.00,2,1,CONDO,,
10-11-1214,,,,,0.00,1,1,CONDO,,
10-11-1215,,,,,0.00,2,1,CONDO,,
10-11-1215,,,,,0.00,1,1,CONDO,,
10-11-1216,,,,,0.00,2,1,CONDO,,
10-11-1216,,,,,0.00,1,1,CONDO,,
10-11-1217,,,,,0.00,2,1,CONDO,,
10-11-1217,,,,,0.00,1,1,CONDO,,
10-11-1218,,,,,0.00,2,1,CONDO,,
10-11-1218,,,,,0.00,1,1,CONDO,,
10-11-1219,,,,,0.00,2,1,CONDO,,
10-11-1219,,,,,0.00,1,1,CONDO,,
10-11-1220,,,,,0.00,2,1,CONDO,,
10-11-1220,,,,,0.00,1,1,CONDO,,
10-11-1221,,,,,0.00,2,1,CONDO,,
10-11-1221,,,,,0.00,1,1,CONDO,,
10-11-1222,,,,,0.00,2,1,CONDO,,
10-11-1222,,,,,0.00,1,1,CONDO,,
10-11-1223,,,,,0.00,2,1,CONDO,,
10-11-1223,,,,,0.00,1,1,CONDO,,
10-11-1224,,,,,0.00,2,1,CONDO,,
10-11-1224,,,,,0.00,1,1,CONDO,,
10-11-1225,,,,,0.00,2,1,CONDO,,
10-11-1225,,,,,0.00,1,1,CONDO,,
10-11-1226,,,,,0.00,2,1,CONDO,,
10-11-1226,,,,,0.00,1,1,CONDO,,
10-11-1300,,,,,887600.00,2,1,IND WHSE,,
10-11-1300,,,,,610900.00,1,1,IND WHSE,,
10-11-1302,,,,,221600.00,2,1,HOTEL,,
10-11-1302,,,,,1832800.00,1,1,HOTEL,,
10-11-1400,,,,,247500.00,2,1,IND LAND,,
10-11-1400,,,,,610900.00,1,1,IND LAND,,
10-11-1500,,,,,67500.00,2,1,OFFICE,,
10-11-1500,,,,,339100.00,1,1,OFFICE,,
10-11-150E,,,,,45000.00,2,1,CHARITABLE,,
10-11-150E,,,,,226000.00,1,1,CHARITABLE,,
10-11-1600,,,,,328500.00,2,1,CHARITABLE,,
10-11-1600,,,,,1374600.00,1,1,CHARITABLE,,
10-11-2000,,,,,1237100.00,1,1,OFFICE,,
10-11-2100,,,,,17100.00,2,1,OFFICE,,
10-11-2100,,,,,1221900.00,1,1,OFFICE,,
10-11-2300,,,,,641500.00,1,1,OFFICE,,
10-11-2400,,,,,614000.00,1,1,PARK LOT,,
10-11-2500,,,,,115900.00,2,1,IND WHSE,,
10-11-2500,,,,,305500.00,1,1,IND WHSE,,
10-11-2600,,,,,358900.00,2,1,R+D BLDG,,
