Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
      3,   ,     11,   ,       ,   ,,       ,   ,WILDWOOD,39 WILDWOOD DR ,"QUATTRINI LI, ALBERTO",,39 WILDWOOD DR,,WEST LEBANON,NH,03784,4728/550,869000,2022-05-13 00:00:00,Q,"NERENZ, ROBERT D & CLAIRE E",1010,R3,0.6,552600,0,146200,400,699200,2425,1995,COLONIAL,12,B,GOOD,GABLE,ASPHALT SH,HARDWOOD,DRYWALL,CLAPBOARD,3022,8,3,2,1,AVERAGE,AVERAGE,FORCED H/W,GAS,,94,VG,R2,2,536100,0,146400,400,682900,558000,2020-06-30 00:00:00,4533/531,558000,2016-06-10 00:00:00,4213/0575,504400,2016-02-15 00:00:00,0/0
      3,   ,     12,   ,       ,   ,,       ,   ,WILDWOOD,41 WILDWOOD DR,"BUTLER, THOMAS H &","CONVERTINI, TONIA",41 WILDWOOD DR,,WEST LEBANON,NH,03784,4208/0367,372000,2016-05-26 00:00:00,Q,"COLT, BETTY C TTEE",1010,R3,0.55,359500,0,142300,400,502200,1782,1970,SPLIT/RSD RANCH,13,B,GOOD,GABLE,ASPHALT SH,CARPET,DRYWALL,TEX 111,2348,8,3,2,0,AVERAGE,AVERAGE,FORCED H/W,OIL,,79,A,R2,1,344700,0,142200,400,487300,0,2011-01-10 00:00:00,3767/0313,0,1978-09-25 00:00:00,1353/0911,0,1900-01-01 00:00:00,0/0
      3,   ,     13,   ,       ,   ,,       ,   ,OAK RIDGE,31 OAK RIDGE RD,DRENNAN KEVIN S,DRENNAN ELIZABETH,31 OAK RIDGE RD,,WEST LEBANON,NH,03784,4826/0520,825000,2023-09-15 00:00:00,Q,"RIEHL, BRENAN S & SHARI L",1010,R3,0.49,640600,0,137900,500,779000,2705,1986,COLONIAL,14,B+,GOOD (+),GABLE,ASPHALT SH,HARDWOOD,DRYWALL,VINYL,3406,11,4,3,1,AVERAGE,AVERAGE,FORCED H/W,OIL,,92,VG,R2,2,640600,0,138000,500,779100,325000,1997-11-11 00:00:00,2284/0046,325000,1985-06-04 00:00:00,1546/0589,0,1901-01-01 00:00:00,0/0
      3,   ,     14,   ,       ,   ,,       ,   ,OAK RIDGE,72 OAK RIDGE RD,"CAMPBELL, D D & J S TTEES",CAMPBELL FAMILY TRUST,72 OAK RIDGE RD,,WEST LEBANON,NH,03784,4357/0054,516700,2018-04-30 00:00:00,Q,"ROBBINS, RAYMOND P & LENITA S",1010,R3,0.52,501300,2300,140100,0,643700,2196,1983,CONTEMPORY,15,B,GOOD,SALTBOX,ASPHALT SH,CARPET,DRYWALL,WOOD,2858,9,4,2,1,AVERAGE,AVERAGE,FORCED H/A,OIL,,90,AG,R2,2,501300,0,140300,0,641600,469533,2005-07-11 00:00:00,3164/0273,469533,1988-07-21 00:00:00,1751/0330,325000,1901-01-01 00:00:00,0/0
      3,   ,     15,   ,       ,   ,,       ,   ,OAK RIDGE,70 OAK RIDGE RD,"AMADIUME, IFI",,70 OAK RIDGE RD,,WEST LEBANON,NH,03784,3099/0853,339000,2005-01-10 00:00:00,Q,"AMADIUME, IFI",1010,R3,0.54,415900,0,141600,200,557700,2363,1974,CONTEMPORY,16,B,GOOD,GABLE,ASPHALT SH,CARPET,DRYWALL,BOARD+BATT,2623,7,2,3,0,AVERAGE,AVERAGE,FORCED H/W,OIL,,83,A,R2,1,415900,0,141500,200,557600,229000,2002-06-04 00:00:00,2675/0191,229000,1998-10-13 00:00:00,2348/0822,0,1994-01-10 00:00:00,0/0
      3,   ,     16,   ,       ,   ,,       ,   ,OAK RIDGE,66 OAK RIDGE RD ,IONESCU-TAJTI CLAUDIU G,IONESCU-TAJTI LACRAMIOARA,66 OAK RIDGE RD ,,WEST LEBANON,NH,03784,4907/0684,0,2024-12-05 00:00:00,U,IONESCU-TAJTI CLAUDIU G,1012,R3,0.55,561900,0,142300,0,704200,3400,1979,COLONIAL,17,C+,AVG. (+),GAMBREL,ASPHALT SH,HARDWOOD,DRYWALL,COMP CLAP,4106,11,5,2,1,AVERAGE,AVERAGE,FORCED H/A,GAS,,88,G,R2,2,573400,0,142200,0,715600,900000,2024-07-09 00:00:00,4876/0851,900000,2020-09-23 00:00:00,4559/12,0,2014-07-28 00:00:00,4072/0732
      3,   ,     17,   ,       ,   ,,       ,   ,OAK RIDGE,62 OAK RIDGE RD,"HICKOX III, C F & S C TTEES","HICKOX III, C F & S C REV TRST",62 OAK RIDGE RD,,WEST LEBANON,NH,03784,4445/0264,499000,2019-06-25 00:00:00,Q,"GARFIELD, JOHN M & SYLVIA M",1010,R3,1.18,527200,0,160300,200,687700,1890,1976,CONTEMPORY,18,B,GOOD,GABLE,STD SEAM,HARDWOOD,PANEL,WOOD,3108,7,3,1,1,GOOD,GOOD,FORCED H/A,OIL,,88,G,R2,1,484000,0,160300,200,644500,395000,2000-09-21 00:00:00,2493/0099,395000,1998-04-13 00:00:00,2309/0441,0,1998-01-05 00:00:00,2297/0671
      3,   ,     18,   ,       ,   ,,       ,   ,OAK RIDGE,60 OAK RIDGE RD,CHAMBERS MARGARET FRIIS,CHAMBERS HENRY PEYTON,719 WILLOWWOOD LANE,,NAPLES,FL,34108,4894/0486,1050000,2024-10-01 00:00:00,U,"ZIMMERMANN, JOHN C TTEE ",1010,R3,1.38,624000,0,201000,200,825200,3404,1971,COLONIAL,19,B,GOOD,GABLE,ASPHALT SH,HARDWOOD,DRYWALL,CLAPBOARD,4715,11,3,1,0,AVERAGE,AVERAGE,FORCED H/W,OIL,,82,AG,R2,2,624000,0,201000,200,825200,0,2010-11-08 00:00:00,3748/0492,0,1993-12-21 00:00:00,2070/0779,260000,1901-01-01 00:00:00,0/0
      3,   ,     19,   ,       ,   ,,       ,   ,OAK RIDGE,56 OAK RIDGE RD ,"PURCELL, K P & T A TTEES",PURCELL FAMILY REV TRST,56 OAK RIDGE RD,,WEST LEBANON,NH,03784,4162/0382,395000,2015-10-01 00:00:00,Q,"MCINERNEY, CHRISTINE P TTEE",1010,R3,0.88,685100,0,159300,0,844400,3616,1973,CAPE,20,B+,GOOD (+),GABLE,ASPHALT SH,CARPET,DRYWALL,CLAPBOARD,4482,6,2,2,1,FAIR,FAIR,FORCED H/W,OIL,,88,G,R2,1A,673900,0,159500,0,833400,0,2015-06-14 00:00:00,0/0,0,2000-02-09 00:00:00,2446/0351,0,1986-11-03 00:00:00,1631/0295
      3,   ,     20,   ,       ,   ,,       ,   ,OAK RIDGE,52 OAK RIDGE RD ,"HILL, BRANDON GREGORY","HILL, TRACY ANNE",52 OAK RIDGE RD,,WEST LEBANON,NH,03784,4676/688,825000,2021-10-15 00:00:00,Q,"BENGTSON, ELIZABETH M TRUSTEE",1010,R3,1.31,581400,0,200700,0,782100,2243,1971,RANCH,21,B,GOOD,GABLE,ASPHALT SH,HARDWOOD,DRYWALL,WOOD SHING,3373,7,3,1,1,VERY GOOD,VERY GOOD,FORCED H/W,OIL,,97,RC,R2,1,581400,0,200700,0,782100,0,2018-09-21 00:00:00,4394/0953,0,2017-03-14 00:00:00,4272/0640,512534,2013-05-07 00:00:00,3978/0151
      3,   ,     21,   ,       ,   ,,       ,   ,OAK RIDGE,48 OAK RIDGE RD,"BOGHOSIAN, GILBERTE TTEE","BOGHOSIAN, GILBERTE REV TRST",65 OAK RIDGE RD,,WEST LEBANON,NH,03784,0/0,0,2017-02-23 00:00:00,Q,"BOGHOSIAN, G & A A CO-TTEES",1310,R3,2.8,0,0,65600,0,65600,0,,,22,,,,,,,,0,,,,,,,,,,,,R2,,0,0,65600,0,65600,0,2014-02-18 00:00:00,4043/0263,0,1997-01-28 00:00:00,2237/0836,340000,1994-12-22 00:00:00,2125/0983
      3,   ,     22,   ,       ,   ,,       ,   ,OAK RIDGE,44 OAK RIDGE RD,"OBERG, CURTIS P & SHERRI C",,44 OAK RIDGE RD,,WEST LEBANON,NH,03784,4199/0237,957000,2016-04-13 00:00:00,Q,"BIRKELAND, BRYAN TTEE",1040,R3,2.8,881300,0,220500,0,1101800,3071,2001,CONTEMPORY,23,A-,V GOOD-,GABLE,STD SEAM,HARDWOOD,DRYWALL,CLAPBOARD,4081,9,3,2,1,AVERAGE,GOOD,RADIANT,GAS,,94,VG,R2,2,881300,0,220500,0,1101800,729000,2006-10-06 00:00:00,3336/0964,729000,2000-07-28 00:00:00,2477/0648,71000,1993-11-04 00:00:00,2058/0907
      3,   ,     23,   ,       ,   ,,       ,   ,OAK RIDGE,40 OAK RIDGE RD,"ARCONE, STEVEN A TTEE","ARCONE, STEVEN A REV TRST",40 OAK RIDGE RD,,WEST LEBANON,NH,03784,4309/0888,0,2017-09-06 00:00:00,Q,"ARCONE, STEVEN A",1010,R3,0.55,328100,0,142300,0,470400,1548,1974,RANCH,24,C+,AVG. (+),GABLE,ASPHALT SH,SOFTWOOD,DRYWALL,CLAPBOARD,2535,7,3,2,1,AVERAGE,AVERAGE,ELECTRC BB,ELECTRIC,,88,G,R2,1,328100,0,142200,0,470300,320000,2005-09-22 00:00:00,3196/0541,320000,1993-09-27 00:00:00,2053/0050,207500,1901-01-01 00:00:00,0/0
      3,   ,     24,   ,       ,   ,,       ,   ,OAK RIDGE,36 OAK RIDGE RD ,"FAUNCE, ANDREW G &","VORAN, MIRIAM J",36 OAK RIDGE RD,,WEST LEBANON,NH,03784,3565/0393,370000,2008-11-13 00:00:00,Q,"FAUNCE, ANDREW G",1010,R3,0.5,316400,0,138700,500,455600,1372,1972,RANCH,25,C+,AVG. (+),GABLE,ASPHALT SH,HARDWOOD,DRYWALL,WOOD,2096,7,3,1,0,AVERAGE,VERY GOOD,FORCED H/W,OIL,,88,G,R2,1,316400,0,138700,500,455600,327000,2008-07-09 00:00:00,3535/0191,327000,1997-05-30 00:00:00,2263/0259,0,1976-09-10 00:00:00,1293/0535
      3,   ,     28,   ,       ,   ,,       ,   ,OAK RIDGE,65 OAK RIDGE RD,"BOGHOSIAN, GILBERTE TTEE","BOGHOSIAN, GILBERTE REV TRST",65 OAK RIDGE RD,,WEST LEBANON,NH,03784,0/0,0,2017-02-23 00:00:00,Q,"BOGHOSIAN, G & A A CO-TTEES",1010,R3,4.42,785000,1300,173300,26300,985900,4687,1972,CAPE,26,B+,GOOD (+),GABLE,WOODSHINGL,HARDWOOD,DRYWALL,CLAPBOARD,5617,11,5,1,1,GOOD,GOOD,FORCED H/W,OIL,,88,G,R2,1H,785000,1300,173300,26300,985900,0,2014-02-18 00:00:00,4043/0263,0,1997-01-28 00:00:00,2237/0836,340000,1994-12-22 00:00:00,2125/0983
      3,   ,     33,   ,       ,   ,,       ,   ,OAK RIDGE,32 OAK RIDGE RD,"OGAWA, MAKIO & MARY-JANE TTEES",OGAWA FAMILY REV LIVING TRST,32 OAK RIDGE RD,,WEST LEBANON,NH,03784,4487/0648,0,2019-12-11 00:00:00,Q,"OGAWA, MAKIO & MARY JANE",1010,R3,1.14,557100,0,160200,0,717300,2614,1979,COLONIAL,27,B,GOOD,GABLE,ASPHALT SH,CARPET,DRYWALL,CLAPBOARD,3278,9,3,2,1,AVERAGE,AVERAGE,FORCED H/W,OIL,,88,G,R2,2,557100,0,160200,0,717300,473000,2011-06-08 00:00:00,3799/0690,473000,2003-06-13 00:00:00,2838/0204,420000,1979-05-11 00:00:00,1367/0152
      3,   ,     34,   ,       ,   ,,       ,   ,OAK RIDGE,28 OAK RIDGE RD,"PARRADO, EDGAR TTEE","PARRADO, MARIA BELEN TTEE",PO BOX 87,,HANOVER,NH,03755-3101,4545/719,551000,2020-07-17 00:00:00,Q,"HILL, JANE E",1010,R3,0.88,526200,0,159300,0,685500,2521,1980,COLONIAL,28,B+,GOOD (+),GABLE,ASPHALT SH,HARDWOOD,DRYWALL,CLAPBOARD,3190,7,3,2,1,FAIR,AVERAGE,RADIANT,OIL,,83,A,R2,2,500000,0,159500,0,659500,403800,2013-09-25 00:00:00,4014/0470,403800,2002-06-04 00:00:00,2675/0139,0,1980-07-21 00:00:00,1401/0801
      3,   ,     35,   ,       ,   ,,       ,   ,FARAWAY,11 FARAWAY LN ,CITY OF LEBANON,,51 NORTH PARK ST,,LEBANON,NH,03766,2279/0232,0,1997-08-05 00:00:00,Q,CITY OF LEBANON,9030,R3,19.5,0,0,1247000,0,1247000,0,,,29,,,,,,,,0,,,,,,,,,,,,R2,,0,0,1307000,0,1307000,0,1997-06-05 00:00:00,0/0,0,1997-06-05 00:00:00,0/0,0,1997-06-05 00:00:00,0/0
      3,   ,     36,   ,       ,   ,,       ,   ,OAK RIDGE,23 OAK RIDGE RD,"TRUE, BENJAMIN J &","GROFF, SARAH B",23 OAK RIDGE RD,,WEST LEBANON,NH,03784,4070/0153,350000,2014-04-30 00:00:00,Q,"NATOLA, MARK & GWENDOLYN",1010,R3,0.53,383700,0,140800,0,524500,2344,1985,CAPE,30,C+,AVG. (+),SALTBOX,ASPHALT SH,SOFTWOOD,PLASTER,CLAPBOARD,2872,7,4,2,1,AVERAGE,AVERAGE,FORCED H/A,GAS,,87,A,R2,1T,383700,0,140700,0,524400,170000,1998-05-05 00:00:00,2312/0713,170000,1998-04-28 00:00:00,2312/0713,170000,1996-06-03 00:00:00,2203/0099
      3,   ,     37,   ,       ,   ,,       ,   ,WILDWOOD,42 WILDWOOD DR,"BLEYLER, PETER A 1995 TRST","BLEYLER, RUTH Z 1995 TRST",42 WILDWOOD DR,,WEST LEBANON,NH,03784,4013/0537,405000,2013-09-23 00:00:00,Q,"HARRIS, ROBERT D",1010,R3,0.52,551400,0,140100,0,691500,2612,1996,RANCH,31,B,GOOD,GABLE,ASPHALT SH,HARDWOOD,DRYWALL,VINYL,3353,6,3,2,1,AVERAGE,AVERAGE,FORCED H/W,GAS,,94,VG,R2,1,551400,0,140300,0,691700,381000,2008-06-26 00:00:00,3530/0106,381000,1995-12-11 00:00:00,2173/0429,41000,1987-06-20 00:00:00,1675/0809
      3,   ,     38,   ,       ,   ,,       ,   ,WILDWOOD,38 WILDWOOD DR,DUCHAINE B C & F O TTEES,DUCHAINE FAMILY REV TRUST ,38 WILDWOOD DR,,WEST LEBANON,NH,03784,4853/0199,0,2024-02-28 00:00:00,U,"DUCHAINE, BRADLEY C & FEZA O",1010,R3,0.48,432500,0,134400,0,566900,2020,1973,RANCH,32,B,GOOD,GABLE,ASPHALT SH,CARPET,DRYWALL,CLAPBOARD,2880,8,4,2,1,AVERAGE,AVERAGE,FORCED H/W,OIL,,83,A,R2,1,429800,0,134400,0,564200,400000,2010-06-22 00:00:00,3710/0226,400000,2006-07-24 00:00:00,3309/0315,408533,1981-05-22 00:00:00,1422/0951
      3,   ,     39,   ,       ,   ,,       ,   ,WILDWOOD,34 WILDWOOD DR,"HANO, GEORGE TTEE","HANO, GEORGE REV TRST",34 WILDWOOD DR,,WEST LEBANON,NH,03784,3768/0181,0,2011-01-12 00:00:00,Q,"HANO, GEORGE ",1010,R3,0.89,600200,0,159400,0,759600,3256,1980,RANCH,33,B,GOOD,GABLE,ASPHALT SH,CARPET,DRYWALL,VINYL,4045,8,3,1,0,AVERAGE,AVERAGE,FORCED H/A,GAS,,86,AG,R2,1,595600,0,159400,0,755000,530000,2010-05-11 00:00:00,3700/854,530000,1996-02-02 00:00:00,2183/0774,0,1994-06-27 00:00:00,2097/0013
      3,   ,     40,   ,       ,   ,,       ,   ,WILDWOOD,24 WILDWOOD DR,"GREENSTEIN, S M & L J CO-TTEES","GREENSTEIN, S M & L J FAM TRST",24 WILDWOOD DR,,WEST LEBANON,NH,03784,4144/0601,0,2015-07-10 00:00:00,Q,"GREENSTEIN, LEWIS & SUSAN M",1010,R3,0.96,449500,0,159200,1200,609900,2564,1970,SPLIT LVL,34,C+,AVG. (+),GABLE,ASPHALT SH,HARDWOOD,DRYWALL,BOARD+BATT,3654,10,4,2,1,AVERAGE,AVERAGE,FORCED H/W,OIL,,82,AG,R2,1,449500,0,159200,1200,609900,407534,2011-05-17 00:00:00,3793/0230,407534,1995-06-16 00:00:00,2147/0024,230000,1994-11-23 00:00:00,2123/0118
      3,   ,     41,   ,       ,   ,,       ,   ,WILDWOOD,16 WILDWOOD DR ,FOLEY LAURA DAVIES,GIMENEZ-FERNANDEZ CLARA,16 WILDWOOD DR,,WEST LEBANON,NH,03784,4819/0327,779000,2023-08-11 00:00:00,Q,"KETT, RUTH H & WARREN C TTEES",1010,R3,0.51,327300,0,139400,1200,467900,1775,1970,RANCH,35,C,AVERAGE,GABLE,STD SEAM,HARDWOOD,DRYWALL,VINYL,2431,5,1,2,1,VERY GOOD,EXCELLENT,FORCED H/W,GAS,,86,G,R2,1,327300,0,139300,1200,467800,0,2022-04-04 00:00:00,4723/269,0,2015-09-09 00:00:00,4157/0751,472534,2013-09-30 00:00:00,4015/0666
      3,   ,     42,   ,       ,   ,,       ,   ,WILDWOOD,14 WILDWOOD DR,"ROGERS, F A & F L CO-TTEES","ROGERS, F A & F L REV TRST",14 WILDWOOD DR,,WEST LEBANON,NH,03784,3841/0600,0,2011-12-05 00:00:00,Q,"ROGERS, FRED A & FAY L",1010,R3,0.52,307800,0,140100,300,448200,1414,1984,RANCH,36,C+,AVG. (+),GABLE,STD SEAM,CARPET,DRYWALL,VINYL,2049,7,3,1,0,AVERAGE,AVERAGE,FORCED H/W,OIL,,91,G,R2,1,307800,0,140300,300,448400,329000,2010-03-16 00:00:00,3687/0368,329000,2008-11-14 00:00:00,3565/0298,350000,1984-11-02 00:00:00,1525/0155
